Key	Type	Desc	Thai
15bit	Text		15-bit
15bitDither	Text		15-bit (Dither)
24bit	Text		24-bit
AcceptEula	Text		Tôi chấp nhận thỏa thuận cấp phép người dùng cuối
Achievements/CatchStarlightNautilus	Text		Hóa Thạch Huyền Thoại
Achievements/CherryBlossomTrees	Text		5 Centimét Trên Giây
Achievements/DefeatAtlanteanWorm	Text		Hội Chứng Sợ Biển
Achievements/DefeatAzeos	Text		Từ Trên Trời Rơi Xuống!
Achievements/DefeatCoreCommander	Text		Kẻ Viếng Thăm Từ Thế Giới Tàn Vong
Achievements/DefeatCrydra	Text		Tiếng Hú Của Biển Cả
Achievements/DefeatDruidra	Text		Bài Ca Của Đại Ngàn
Achievements/DefeatGhorm	Text		Bọ Chạy Loạn
Achievements/DefeatGlurch	Text		Cuộc Chạm Trán Nhầy Nhụa
Achievements/DefeatHivemother	Text		Cẩn Thận Dưới Chân
Achievements/DefeatIgneous	Text		Thiêu Rụi Tất Cả
Achievements/DefeatIvy	Text		Cá Tính Độc Hại
Achievements/DefeatKingSlime	Text		Ninja Trơn Trượt
Achievements/DefeatMalugaz	Text		Bạn Là Một Phù Thủy
Achievements/DefeatMorpha	Text		Trơn Trượt Khi Ướt
Achievements/DefeatNimruza	Text		Khúc Nhạc Tĩnh Lặng
Achievements/DefeatOblidra	Text		Lời Thì Thầm Của Hư Không
Achievements/DefeatOmoroth	Text		Từ Vực Thẳm!
Achievements/DefeatPyrdra	Text		Tiếng Gầm Của Lửa
Achievements/DefeatRaAkar	Text		Quả Báo Xứng Đáng
Achievements/DefeatSahabar	Text		Lời Tiên Tri Được Định Sẵn
Achievements/DefeatUrschleim	Text		Quái Vật Kỷ Cambri
Achievements/Discover100CookBookRecipes	Text		Đầu Bếp Được Cấp Bằng
Achievements/EquipRingOfRockAndStone	Text		Đá và Đá!
Achievements/FeedCattle	Text		Một Cuộc Sống Tốt Đẹp
Achievements/FirstPet	Text		Thú Cưng Đầu Tiên
Achievements/GainOver200MovementSpeed	Text		Vội Vã
Achievements/HarvestGoldenIngredient	Text		Nông Dân Midas
Achievements/KeyArtCharacter	Text		Hội Chứng Kẻ Giả Mạo
Achievements/MaxedOutCooking	Text		Nấu Ăn Đỉnh Cao
Achievements/MaxedOutCrafting	Text		Nhà Thám Hiểm Khéo Tay
Achievements/MaxedOutExplosives	Text		Bậc Thầy Chất Nổ
Achievements/MaxedOutFishing	Text		Dính Câu Hoàn Toàn
Achievements/MaxedOutGardening	Text		Nature Nurturer
Achievements/MaxedOutMagic	Text		Phù Thủy Không Bao Giờ Trễ
Achievements/MaxedOutMelee	Text		...Chích Như Ong Đốt
Achievements/MaxedOutMining	Text		Đào Hố, Đào Hố
Achievements/MaxedOutRange	Text		Robin Hood
Achievements/MaxedOutRunning	Text		Bay Như Bướm...
Achievements/MaxedOutSummoning	Text		Tránh Xa Nhà Triệu Hồi Ra!
Achievements/MaxedOutVitality	Text		Ý Thức Sức Khỏe
Achievements/ObtainCredenceOfRuin	Text		Tín Vật Tàn Tích
Achievements/ObtainPhantomSpark	Text		Tia Lửa Ảo Ảnh
Achievements/ObtainRuneSong	Text		Bài Ca Cổ Tự
Achievements/ObtainSoulSeeker	Text		Kẻ Săn Linh Hồn
Achievements/ObtainStormbringer	Text		Kẻ Nắm Giữ Huyền Thoại
Achievements/ObtainTheOracleDeck	Text		Niềm Tin Vào Những Lá Bài
Achievements/ObtainTitanBreath	Text		Hơi Thở Titan
Achievements/PetColors	Text		Tôi Muốn Có Tất Cả!
Achievements/PetMaxLevel	Text		Thú Cưng Thần Đồng
Achievements/SitOnCavelingToiletWithACrown	Text		Ngai Vàng Cho Nhà Vua
Achievements/StormSong	Text		Bài Ca Kỳ Lạ
Achievements/SummonManyMinions	Text		Chỉ Huy Binh Đoàn
Achievements/TalkToBigLarva	Text		Hội Buôn Chuyện
Achievements/UseWayPoint	Text		Dịch Chuyển Tôi Lên
AchievementsLockedDescription/CatchStarlightNautilus	Text		Câu được một Ốc Anh Vũ Tinh Tú
AchievementsLockedDescription/DefeatAtlanteanWorm	Text		Đánh bại Sâu Atlantis
AchievementsLockedDescription/DefeatAzeos	Text		Đánh bại Azeos, Titan Bầu Trời
AchievementsLockedDescription/DefeatCoreCommander	Text		Đánh bại Chỉ Huy Lõi
AchievementsLockedDescription/DefeatCrydra	Text		Đánh bại Crydra, Titan Băng
AchievementsLockedDescription/DefeatDruidra	Text		Đánh bại Druidra, Titan Hoang Dã
AchievementsLockedDescription/DefeatGhorm	Text		Đánh bại Ghorm Kẻ Nuốt Chửng
