Key	English
15bit	15-bit
15bitDither	15-bit (Dither)
24bit	24-bit
AcceptEula	I accept the end-user license agreement
Achievements/CatchStarlightNautilus	Legendary Fossil
Achievements/CherryBlossomTrees	5 Centimeters Per Second
Achievements/DefeatAtlanteanWorm	Thalassophobia
Achievements/DefeatAzeos	From the Skies!
Achievements/DefeatCoreCommander	Visitor From A Dying World
Achievements/DefeatCrydra	Howl of the Sea
Achievements/DefeatDruidra	Song of the Woods
Achievements/DefeatGhorm	Bugging Out
Achievements/DefeatGlurch	A Slimey Encounter
Achievements/DefeatHivemother	Watch Your Step
Achievements/DefeatIgneous	Burning Through
Achievements/DefeatIvy	Toxic Personality
Achievements/DefeatKingSlime	Slippery Shinobi
Achievements/DefeatMalugaz	You're a Wizard
Achievements/DefeatMorpha	Slippery When Wet
Achievements/DefeatNimruza	Silence the Symphony
Achievements/DefeatOblidra	Whisper of the Void
Achievements/DefeatOmoroth	From the Depths!
Achievements/DefeatPyrdra	Roar of the Flames
Achievements/DefeatRaAkar	Just Deserts
Achievements/DefeatSahabar	Calculated Prophecy
Achievements/DefeatUrschleim	Cambrian Behemoth
Achievements/Discover100CookBookRecipes	Certified Chef
Achievements/EquipRingOfRockAndStone	Rock and Stone!
Achievements/FeedCattle	A Good Life
Achievements/FirstPet	Your Very First
Achievements/GainOver200MovementSpeed	In a Rush
Achievements/HarvestGoldenIngredient	Farmer Midas
Achievements/KeyArtCharacter	Impersonator Syndrome
Achievements/MaxedOutCooking	Cheese it!
Achievements/MaxedOutCrafting	Crafty Explorer
Achievements/MaxedOutExplosives	Explosion Mastery
Achievements/MaxedOutFishing	Completely Hooked
Achievements/MaxedOutGardening	Nature Nurturer
Achievements/MaxedOutMagic	A Wizard Is Never Late
Achievements/MaxedOutMelee	...Sting like a bee
Achievements/MaxedOutMining	Diggy Diggy Hole
Achievements/MaxedOutRange	Robin Hood
Achievements/MaxedOutRunning	Float like a butterfly...
Achievements/MaxedOutSummoning	Stay Away From The Summoner!
Achievements/MaxedOutVitality	Health Conscious
Achievements/ObtainCredenceOfRuin	The Credence of Ruin
Achievements/ObtainPhantomSpark	The Phantom Spark
Achievements/ObtainRuneSong	The Rune Song
Achievements/ObtainSoulSeeker	The Soul Seeker
Achievements/ObtainStormbringer	Wielder of Legends
Achievements/ObtainTheOracleDeck	The Heart of the Cards
Achievements/ObtainTitanBreath	The Titan Breath
Achievements/PetColors	I want ’em all!
Achievements/PetMaxLevel	Pet Prodigy
Achievements/SitOnCavelingToiletWithACrown	A Throne Fit for a King
Achievements/StormSong	A Strange Song
Achievements/SummonManyMinions	Legion Commander
Achievements/TalkToBigLarva	Gossip Group
Achievements/UseWayPoint	Beam Me Up
AchievementsLockedDescription/CatchStarlightNautilus	Catch a Starlight Nautilus
AchievementsLockedDescription/DefeatAtlanteanWorm	Defeat an Atlantean Worm
AchievementsLockedDescription/DefeatAzeos	Defeat Azeos the Sky Titan
AchievementsLockedDescription/DefeatCoreCommander	Defeat the Core Commander
AchievementsLockedDescription/DefeatCrydra	Defeat Crydra the Ice Titan
AchievementsLockedDescription/DefeatDruidra	Defeat Druidra the Wild Titan
AchievementsLockedDescription/DefeatGhorm	Defeat Ghorm the Devourer
AchievementsLockedDescription/DefeatGlurch	Defeat Glurch the Abominous Mass
AchievementsLockedDescription/DefeatHivemother	Defeat the Hive Mother
AchievementsLockedDescription/DefeatIgneous	Defeat Igneous the Molten Mass
AchievementsLockedDescription/DefeatIvy	Defeat Ivy the Poisonous Mass
AchievementsLockedDescription/DefeatKingSlime	Defeat King Slime
AchievementsLockedDescription/DefeatMalugaz	Defeat Malugaz the Corrupted
AchievementsLockedDescription/DefeatMorpha	Defeat Morpha the Aquatic Mass
AchievementsLockedDescription/DefeatNimruza	Defeat Nimruza, Queen of the Burrowed Sands
AchievementsLockedDescription/DefeatOblidra	Defeat Oblidra the Void Lord
AchievementsLockedDescription/DefeatOmoroth	Defeat Omoroth the Sea Titan
AchievementsLockedDescription/DefeatPyrdra	Defeat Pyrdra the Fire Titan
AchievementsLockedDescription/DefeatRaAkar	Defeat Ra-Akar the Sand Titan
